10976万美元	厄瓜多尔
GU	关岛
GW	几内亚比绍
GY	圭亚那
HM	赫德岛和麦克唐纳群岛
HN	洪都拉斯
HR	克罗地亚
HT	海地
IC	加纳利群岛
IM	曼岛
IO	英属印度洋领地
IS	冰岛
JE	泽西岛
JM	牙买加
KE	肯尼亚
KG	吉尔吉斯斯坦
KH	柬埔寨
KI	基里巴斯
KM	科摩罗
KN	圣基茨和尼维斯
KP	朝鲜
14885万美元	科威特
KY	开曼群岛
LA	老挝
5711万美元	黎巴嫩
LC	圣卢西亚
LI	列支敦士登
8746万美元	斯里兰卡
LR	利比里亚
LS	莱索托
4516万美元	立陶宛
LV	拉脱维亚
10945万美元	摩洛哥
MC	摩纳哥
MD	摩尔多瓦
ME	黑山
MF	法属圣马丁
MG	马达加斯加
MH	马绍尔群岛
MK	马其顿
ML	马里
7789万美元	缅甸
MN	蒙古
MO	澳门
MP	北马里亚纳群岛
MQ	马提尼克
MR	毛里塔尼亚
MS	蒙特塞拉特
MT	马耳他
MU	毛里求斯
MV	马尔代夫
MW	马拉维
MZ	莫桑比克
NA	纳米比亚
NC	新喀里多尼亚
NE	尼日尔
NF	诺福克岛
NI	尼加拉瓜
NP	尼泊尔
NR	瑙鲁
NU	纽埃
PF	法属波利尼西亚
PG	巴布亚新几内亚
PH	菲律宾
PK	巴基斯坦
PM	圣皮埃尔和密克隆群岛
PN	皮特凯恩群岛
PR	波多黎各
PS	巴勒斯坦
PW	帕劳
PY	巴拉圭
QO	大洋洲边远群岛
RE	留尼汪
RS	塞尔维亚
RW	卢旺达
SB	所罗门群岛
SC	塞舌尔
SH	圣赫勒拿
4412万美元	斯洛文尼亚
SJ	斯瓦尔巴特和扬马延
9139万美元	斯洛伐克
SL	塞拉利昂
SM	圣马力诺
SN	塞内加尔
SO	索马里
SR	苏里南
SS	南苏丹
ST	圣多美和普林西比
SV	萨尔瓦多
SX	荷属圣马丁
SY	叙利亚
SZ	斯威士兰
TA	特里斯坦-达库尼亚群岛
TC	特克斯和凯科斯群岛
TD	乍得
TF	法属南部领地
TG	多哥
TJ	塔吉克斯坦
TK	托克劳
TL	东帝汶
TM	土库曼斯坦
4609万美元	突尼斯
TO	汤加
TT	特立尼达和多巴哥
TV	图瓦卢
TZ	坦桑尼亚
9263万美元	乌克兰
UG	乌干达
UM	美国本土外小岛屿
UY	乌拉圭
7649万美元	乌兹别克斯坦
VA	梵蒂冈
VC	圣文森特和格林纳丁斯
18348万美元	委内瑞拉
VG	英属维京群岛
VI	美属维京群岛
VU	瓦努阿图
WF	瓦利斯和富图纳
WS	萨摩亚
XK	科索沃
YT	马约特
ZM	赞比亚
ZW	津巴布韦
